,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
467864,02/26/2017,21:40,MANHATTAN,10027,40.81458,-73.94795,"(40.81458, -73.94795)",WEST 132 STREET                 ,8 AVENUE,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3623513,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
473625,02/15/2017,12:22,MANHATTAN,10025,40.7997,-73.97193,"(40.7997, -73.97193)",RIVERSIDE DRIVE                 ,WEST 102 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3617205,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
474808,02/13/2017,0:00,MANHATTAN,10033,40.84999,-73.93866,"(40.84999, -73.93866)",WEST 180 STREET                 ,FORT WASHINGTON AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3615731,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
484138,01/28/2017,23:50,MANHATTAN,10075,40.774323,-73.96149,"(40.774323, -73.96149)",EAST 77 STREET                  ,PARK AVENUE,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,3606696,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
491337,01/15/2017,23:35,MANHATTAN,10034,40.864403,-73.923775,"(40.864403, -73.923775)",ACADEMY STREET                  ,SHERMAN AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3598998,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
565527,09/19/2016,13:25,MANHATTAN,10029,40.79726,-73.94053,"(40.79726, -73.94053)",EAST 115 STREET                 ,3 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,3523641,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
574740,09/06/2016,7:57,MANHATTAN,10128,40.78336,-73.95489,"(40.78336, -73.95489)",PARK AVENUE                     ,EAST 91 STREET,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Unspecified,3514569,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
587233,08/16/2016,12:01,MANHATTAN,10013,40.718777,-73.995705,"(40.718777, -73.995705)",GRAND STREET                    ,ELIZABETH STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3507250,BICYCLE,PASSENGER VEHICLE,BICYCLE,BICYCLE,BICYCLE
605289,07/20/2016,6:30,MANHATTAN,10014,40.735302,-74.00494,"(40.735302, -74.00494)",PERRY STREET                    ,BLEECKER STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3486301,BICYCLE,OTHER,BICYCLE,BICYCLE,BICYCLE
615917,07/03/2016,9:35,MANHATTAN,10032,40.842957,-73.93468,"(40.842957, -73.93468)",AMSTERDAM AVENUE                ,WEST 173 STREET,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3474226,PASSENGER VEHICLE,MOTORCYCLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
618599,06/29/2016,6:00,MANHATTAN,10037,40.811565,-73.942726,"(40.811565, -73.942726)",WEST 131 STREET                 ,LENOX AVENUE,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,3471258,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
654177,05/07/2016,21:40,MANHATTAN,10011,40.74284,-74.00028,"(40.74284, -74.00028)",WEST 19 STREET                  ,8 AVENUE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3437097,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
