,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
67,03/08/2019,12:10,BROOKLYN,11236.0,40.646114000000004,-73.904785,"(40.646114, -73.904785)",FARRAGUT ROAD                   ,EAST 96 STREET,,3,0.0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,4094652.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
844,03/07/2019,18:45,BROOKLYN,11224.0,40.579803000000005,-73.97184,"(40.579803, -73.97184)",WEST 5 STREET                   ,NEPTUNE AVENUE,,2,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4093044.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Pick-up Truck
2293,03/04/2019,11:00,BROOKLYN,11228.0,40.62072,-74.0203,"(40.62072, -74.0203)",7 AVENUE                        ,83 STREET,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4090928.0,Sedan,Sedan,Sedan,Sedan,Sedan
3152,03/03/2019,4:05,BRONX,10455.0,40.812126,-73.90419,"(40.812126, -73.90419)",EAST 149 STREET                 ,SOUTHERN BOULEVARD,,3,0.0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4089905.0,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
5002,02/28/2019,21:15,STATEN ISLAND,10304.0,40.619907,-74.08591,"(40.619907, -74.08591)",VANDUZER STREET                 ,LAUREL AVENUE,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4088907.0,PK,Sedan,Sedan,Sedan,Sedan
5222,02/28/2019,9:45,QUEENS,11385.0,40.70255,-73.88984,"(40.70255, -73.88984)",CENTRAL AVENUE                  ,65 PLACE,,3,0.0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4089821.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
6668,02/25/2019,14:33,STATEN ISLAND,10305.0,40.59684,-74.06208000000001,"(40.59684, -74.06208)",LILY POND AVENUE                ,GUILFORD STREET,,4,0.0,0,0,0,0,4,0,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,4086646.0,Pick-up Truck,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
6715,02/25/2019,15:29,MANHATTAN,10031.0,40.8188,-73.95603,"(40.8188, -73.95603)",WEST 133 STREET                 ,BROADWAY,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4086629.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
7515,02/24/2019,9:58,BROOKLYN,11210.0,40.62956,-73.94341999999999,"(40.62956, -73.94342)",AVENUE I                        ,EAST 34 STREET,,4,0.0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,4086337.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
7532,02/23/2019,0:40,QUEENS,11418.0,40.69507,-73.82376,"(40.69507, -73.82376)",ATLANTIC AVENUE                 ,124 STREET,,3,0.0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4085991.0,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
8940,02/21/2019,21:49,BRONX,10467.0,40.878994,-73.87769,"(40.878994, -73.87769)",RESERVOIR OVAL WEST             ,WAYNE AVENUE,,1,0.0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4085079.0,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
10996,02/17/2019,2:20,BROOKLYN,11236.0,40.63671,-73.88519000000001,"(40.63671, -73.88519)",SEAVIEW AVENUE                  ,EAST 103 STREET,,0,0.0,0,0,0,0,0,0,Steering Failure,Unspecified,Unspecified,Unspecified,Unspecified,4086217.0,Sedan,Sedan,Sedan,Sedan,Sedan
11070,02/16/2019,0:00,QUEENS,11422.0,40.652313,-73.73688,"(40.652313, -73.73688)",253 STREET                      ,149 ROAD,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4081638.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
11390,02/16/2019,18:53,BROOKLYN,11234.0,40.62625,-73.920876,"(40.62625, -73.920876)",EAST 57 STREET                  ,AVENUE K,,0,0.0,0,0,0,0,0,0,Glare,Unspecified,Unspecified,Unspecified,Unspecified,4082958.0,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
13072,02/13/2019,14:37,STATEN ISLAND,10306.0,40.581790000000005,-74.11128000000001,"(40.58179, -74.11128)",RICHMOND ROAD                   ,COLFAX AVENUE,,3,0.0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,4080157.0,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Pick-up Truck,Sedan,Sedan
14637,02/11/2019,6:07,BROOKLYN,11208.0,40.66803,-73.87285,"(40.66803, -73.87285)",FOUNTAIN AVENUE                 ,HEGEMAN AVENUE,,1,0.0,0,0,0,0,1,0,Alcohol Involvement,Alcohol Involvement,Oversized Vehicle,Unspecified,Unspecified,4078799.0,Sedan,Bus,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
14645,02/11/2019,6:29,BROOKLYN,11207.0,40.673016,-73.89718,"(40.673016, -73.89718)",GLENMORE AVENUE                 ,SHEFFIELD AVENUE,,2,0.0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4078796.0,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
15666,02/09/2019,4:10,BRONX,10468.0,40.861744,-73.911804,"(40.861744, -73.911804)",CEDAR AVENUE                    ,WEST FORDHAM ROAD,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4079137.0,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
15699,02/09/2019,7:29,BRONX,10457.0,40.837654,-73.89997,"(40.837654, -73.89997)",FULTON AVENUE                   ,CLAREMONT PARKWAY,,12,0.0,0,0,0,0,12,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,4077687.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Bus
15718,02/09/2019,8:45,QUEENS,11377.0,40.74196,-73.90831,"(40.74196, -73.90831)",57 STREET                       ,QUEENS BOULEVARD,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4077913.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
16124,02/08/2019,19:39,BROOKLYN,11214.0,40.598553,-73.997345,"(40.598553, -73.997345)",BATH AVENUE                     ,BAY PARKWAY,,0,0.0,0,0,0,0,0,0,Steering Failure,Unspecified,Unspecified,Unspecified,Unspecified,4077346.0,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan
17718,02/05/2019,12:30,BROOKLYN,11201.0,40.689583,-73.99468,"(40.689583, -73.99468)",PACIFIC STREET                  ,CLINTON STREET,,0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4076261.0,Sedan,Pick-up Truck,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
18061,02/05/2019,3:38,QUEENS,11429.0,40.705475,-73.73608399999999,"(40.705475, -73.736084)",112 AVENUE                      ,221 STREET,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4077401.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Carry All
19531,02/02/2019,15:00,QUEENS,11413.0,40.665955,-73.76084,"(40.665955, -73.76084)",SOUTH CONDUIT AVENUE            ,184 STREET,,1,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4073597.0,Sedan,Sedan,Sedan,Sedan,Sedan
19753,02/02/2019,21:38,BROOKLYN,11236.0,40.639365999999995,-73.9113,"(40.639366, -73.9113)",GLENWOOD ROAD                   ,EAST 85 STREET,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4081147.0,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
19809,02/02/2019,2:20,QUEENS,11372.0,40.75159,-73.88655,"(40.75159, -73.88655)",35 AVENUE                       ,80 STREET,,1,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,4073182.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
19991,02/01/2019,12:25,BROOKLYN,11217.0,40.684684999999995,-73.98114,"(40.684685, -73.98114)",PACIFIC STREET                  ,3 AVENUE,,0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4073101.0,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
21681,01/30/2019,8:15,BROOKLYN,11213.0,40.676895,-73.93593,"(40.676895, -73.93593)",PACIFIC STREET                  ,TROY AVENUE,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4073667.0,Sedan,Sedan,Sedan,Sedan,Sedan
22856,01/28/2019,23:25,BRONX,10453.0,40.855785,-73.90558,"(40.855785, -73.90558)",WEST 181 STREET                 ,JEROME AVENUE,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4070992.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan
23931,01/26/2019,6:51,QUEENS,11434.0,40.676037,-73.79035,"(40.676037, -73.79035)",SUTPHIN BOULEVARD               ,123 AVENUE,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4070516.0,Sedan,Sedan,Sedan,Sedan,Sedan
24797,01/24/2019,14:04,BRONX,10466.0,40.89765,-73.84073000000001,"(40.89765, -73.84073)",MONTICELLO AVENUE               ,PITMAN AVENUE,,0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,4069572.0,Sedan,Sedan,Sedan,Sedan,Sedan
24901,01/24/2019,17:00,MANHATTAN,10034.0,40.86795,-73.92701,"(40.86795, -73.92701)",PAYSON AVENUE                   ,BEAK STREET,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4074224.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan
25564,01/23/2019,19:30,BRONX,10455.0,40.818146,-73.89929000000001,"(40.818146, -73.89929)",DAWSON STREET                   ,LONGWOOD AVENUE,,0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,4068384.0,Sedan,Sedan,Sedan,Sedan,Sedan
27142,01/20/2019,2:10,MANHATTAN,10031.0,40.822643,-73.953224,"(40.822643, -73.953224)",WEST 139 STREET                 ,BROADWAY,,1,0.0,0,0,0,0,1,0,Illnes,Unspecified,Unspecified,Unspecified,Unspecified,4057834.0,FIRET,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
29243,01/16/2019,20:20,QUEENS,11412.0,40.705414000000005,-73.78035,"(40.705414, -73.78035)",LIBERTY AVENUE                  ,180 STREET,,2,0.0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4056512.0,Station Wagon/Sport Utility Vehicle,Van,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
30530,01/14/2019,21:45,MANHATTAN,10033.0,40.850506,-73.93287,"(40.850506, -73.93287)",SAINT NICHOLAS AVENUE           ,WEST 183 STREET,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4067396.0,Sedan,Pick-up Truck,Sedan,Sedan,Sedan
31002,01/13/2019,20:20,BROOKLYN,11210.0,40.631706,-73.94649,"(40.631706, -73.94649)",FLATBUSH AVENUE                 ,AVENUE H,,3,0.0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,4057581.0,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
31017,01/13/2019,21:10,BROOKLYN,11219.0,40.629032,-74.00194,"(40.629032, -74.00194)",62 STREET                       ,12 AVENUE,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4066666.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
31095,01/13/2019,7:06,QUEENS,11354.0,40.769352000000005,-73.83258000000001,"(40.769352, -73.83258)",LINDEN PLACE                    ,31 ROAD,,2,0.0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,4065939.0,Box Truck,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
31911,01/11/2019,16:00,QUEENS,11427.0,40.72613,-73.75658,"(40.72613, -73.75658)",CLEARVIEW EXPRESSWAY            ,GRAND CENTRAL PARKWAY,,0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,4065370.0,Pick-up Truck,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
32238,01/11/2019,8:50,QUEENS,11354.0,40.75696,-73.8387,"(40.75696, -73.8387)",ROOSEVELT AVENUE                ,VANWYCK EXPRESSWAY,,0,0.0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,Pavement Slippery,Pavement Slippery,Unspecified,4060249.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
32425,01/10/2019,14:00,QUEENS,11428.0,40.71893,-73.73439,"(40.71893, -73.73439)",220 STREET                      ,JAMAICA AVENUE,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4064946.0,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
36427,01/02/2019,0:50,BROOKLYN,11203.0,40.640223999999996,-73.94456,"(40.640224, -73.94456)",NEWKIRK AVENUE                  ,EAST 34 STREET,,3,0.0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,4060788.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
38329,12/30/2018,7:00,BROOKLYN,11236.0,40.64563,-73.88891,"(40.64563, -73.88891)",EAST 108 STREET                 ,AVENUE K,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4056121.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Taxi
38823,12/29/2018,7:00,QUEENS,11434.0,40.672670000000004,-73.77029399999999,"(40.67267, -73.770294)",137 AVENUE                      ,170 STREET,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4054181.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
38824,12/29/2018,7:23,MANHATTAN,10013.0,40.722324,-74.01178,"(40.722324, -74.01178)",WEST STREET                     ,LAIGHT STREET,,3,1.0,0,0,0,0,3,1,Unsafe Speed,Alcohol Involvement,Unspecified,Unspecified,Unspecified,4056090.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Sedan
39357,12/28/2018,21:00,BROOKLYN,11214.0,40.595776,-73.98823,"(40.595776, -73.98823)",BAY 40 STREET                   ,BENSON AVENUE,,2,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4054025.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan
40920,12/25/2018,3:25,BROOKLYN,11230.0,40.629985999999995,-73.97157,"(40.629986, -73.97157)",OCEAN PARKWAY                   ,FOSTER AVENUE,,1,0.0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4053812.0,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
40945,12/25/2018,6:25,BRONX,10452.0,40.8431,-73.91796,"(40.8431, -73.91796)",MACOMBS ROAD                    ,CROMWELL AVENUE,,0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4051986.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
41197,12/24/2018,16:00,STATEN ISLAND,10312.0,40.556,-74.19475,"(40.556, -74.19475)",ARDEN AVENUE                    ,FOREST GREEN,,0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4051657.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
42437,12/22/2018,20:40,QUEENS,11421.0,40.697556,-73.852776,"(40.697556, -73.852776)",WOODHAVEN BOULEVARD             ,PARK LANE SOUTH,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4050626.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan
45181,12/18/2018,14:55,QUEENS,11423.0,40.713318,-73.76402,"(40.713318, -73.76402)",196 STREET                      ,JAMAICA AVENUE,,5,0.0,0,0,0,0,5,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,4047606.0,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
46419,12/16/2018,11:30,BROOKLYN,11208.0,40.661106,-73.87529,"(40.661106, -73.87529)",WORTMAN AVENUE                  ,ESSEX STREET,,2,0.0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,4045913.0,Sedan,Sedan,Pick-up Truck,Sedan,Sedan
46836,12/16/2018,23:00,BROOKLYN,11219.0,40.629985999999995,-73.99736999999999,"(40.629986, -73.99737)",58 STREET                       ,13 AVENUE,,0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,4047597.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
46930,12/16/2018,6:10,BROOKLYN,11236.0,40.638428000000005,-73.91275,"(40.638428, -73.91275)",EAST 83 STREET                  ,GLENWOOD ROAD,,0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,Unspecified,4045770.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
47152,12/15/2018,13:30,MANHATTAN,10040.0,40.863609999999994,-73.92821500000001,"(40.86361, -73.928215)",DONGAN PLACE                    ,ARDEN STREET,,0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,4046737.0,Flat Bed,Sedan,Sedan,Sedan,Sedan
47157,12/15/2018,13:50,BROOKLYN,11203.0,40.655457,-73.92883,"(40.655457, -73.92883)",LENOX ROAD                      ,EAST 52 STREET,,1,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4047345.0,Sedan,Sedan,Sedan,Sedan,Sedan
49162,12/12/2018,0:30,BROOKLYN,11236.0,40.63496,-73.892365,"(40.63496, -73.892365)",EAST 96 STREET                  ,AVENUE N,,3,0.0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4047791.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
50294,12/11/2018,4:50,MANHATTAN,10065.0,40.765614,-73.9607,"(40.765614, -73.9607)",EAST 67 STREET                  ,2 AVENUE,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4042952.0,Sedan,Taxi,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
50533,12/10/2018,10:50,BRONX,10452.0,40.843204,-73.91196,"(40.843204, -73.91196)",EAST MOUNT EDEN AVENUE          ,GRAND CONCOURSE,,3,0.0,0,0,0,0,3,0,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,4041942.0,Sedan,Box Truck,Box Truck,Sedan,Sedan
52143,12/08/2018,3:45,BROOKLYN,11204.0,40.612328000000005,-73.9758,"(40.612328, -73.9758)",63 STREET                       ,24 AVENUE,,0,0.0,0,0,0,0,0,0,Tire Failure/Inadequate,Unspecified,Unspecified,Unspecified,Unspecified,4040550.0,Sedan,Sedan,Sedan,Sedan,Sedan
53029,12/06/2018,12:00,QUEENS,11415.0,40.711999999999996,-73.82545999999999,"(40.712, -73.82546)",QUEENS BOULEVARD                ,83 AVENUE,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4039883.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
53053,12/06/2018,12:35,QUEENS,11372.0,40.754974,-73.89095,"(40.754974, -73.89095)",76 STREET                       ,NORTHERN BOULEVARD,,1,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4041837.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Box Truck,Station Wagon/Sport Utility Vehicle
53904,12/05/2018,17:00,QUEENS,11366.0,40.726315,-73.789986,"(40.726315, -73.789986)",178 STREET                      ,UNION TURNPIKE,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4053858.0,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
54094,12/05/2018,23:10,QUEENS,11413.0,40.674923,-73.73694,"(40.674923, -73.73694)",233 STREET                      ,MERRICK BOULEVARD,,0,0.0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Alcohol Involvement,4051115.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
54320,12/04/2018,10:30,BROOKLYN,11210.0,40.629677,-73.94151,"(40.629677, -73.94151)",AVENUE I                        ,BROOKLYN AVENUE,,1,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Steering Failure,Unspecified,Unspecified,Unspecified,4038048.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
55268,12/03/2018,17:03,MANHATTAN,10039.0,40.829155,-73.93728,"(40.829155, -73.93728)",8 AVENUE                        ,WEST 155 STREET,,0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,4046728.0,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
56129,12/02/2018,3:57,QUEENS,11421.0,40.694775,-73.84774,"(40.694775, -73.84774)",JAMAICA AVENUE                  ,98 STREET,,7,0.0,0,0,0,0,7,0,Pavement Slippery,Unspecified,Unspecified,Unspecified,Unspecified,4037319.0,Sedan,Station Wagon/Sport Utility Vehicle,Ambulance,Sedan,Station Wagon/Sport Utility Vehicle
56234,12/01/2018,0:16,MANHATTAN,10013.0,40.725025,-74.005905,"(40.725025, -74.005905)",VARICK STREET                   ,DOMINICK STREET,,3,0.0,0,0,0,0,3,0,Fell Asleep,Unspecified,Unspecified,Unspecified,Unspecified,4045147.0,Taxi,Station Wagon/Sport Utility Vehicle,Taxi,Taxi,Station Wagon/Sport Utility Vehicle
58025,11/29/2018,21:50,BROOKLYN,11211.0,40.71532,-73.9387,"(40.71532, -73.9387)",OLIVE STREET                    ,ORIENT AVENUE,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4035304.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
58848,11/27/2018,11:55,QUEENS,11420.0,40.67203,-73.81846,"(40.67203, -73.81846)",121 STREET                      ,133 AVENUE,,0,0.0,0,0,0,0,0,0,Tire Failure/Inadequate,Unspecified,Unspecified,Unspecified,Unspecified,4033639.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
59998,11/26/2018,4:00,QUEENS,11368.0,40.75349,-73.86359,"(40.75349, -73.86359)",104 STREET                      ,37 AVENUE,,0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4032730.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
