,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
259369,01/16/2018,18:50,STATEN ISLAND,10312.0,40.563446,-74.169754,"(40.563446, -74.169754)",RICHMOND AVENUE                 ,DRUMGOOLE ROAD WEST,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,3829904.0,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
260193,01/14/2018,10:45,QUEENS,11373.0,40.74113,-73.86568,"(40.74113, -73.86568)",97 STREET                       ,51 AVENUE,,3.0,0.0,0,0,0,0,3,0,Driver Inexperience,Unspecified,Unspecified,Unspecified,Unspecified,3828070.0,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
260602,01/14/2018,4:43,BRONX,10460.0,40.8396,-73.86922,"(40.8396, -73.86922)",EAST TREMONT AVENUE             ,COMMONWLTH AVENUE,,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3828649.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
260730,01/13/2018,11:45,QUEENS,11416.0,40.681984,-73.84976999999999,"(40.681984, -73.84977)",90 STREET                       ,ROCKAWAY BOULEVARD,,5.0,0.0,0,0,0,0,5,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3828761.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
261178,01/13/2018,4:15,BROOKLYN,11226.0,40.652557,-73.96043,"(40.652557, -73.96043)",EAST 21 STREET                  ,CATON AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3828285.0,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
262193,01/11/2018,15:20,BROOKLYN,11229.0,40.596817,-73.955086,"(40.596817, -73.955086)",AVENUE V                        ,EAST 16 STREET,,2.0,0.0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3826499.0,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
264500,01/08/2018,20:50,BROOKLYN,11215.0,40.660934000000005,-73.983246,"(40.660934, -73.983246)",WINDSOR PLACE                   ,8 AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3824754.0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
266529,01/04/2018,0:00,QUEENS,11412.0,40.697815000000006,-73.7602,"(40.697815, -73.7602)",194 STREET                      ,114 ROAD,,1.0,0.0,0,0,0,0,1,0,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,4061686.0,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan
268686,01/01/2018,5:30,BRONX,10467.0,40.86327,-73.87047,"(40.86327, -73.87047)",BRONX PARK EAST                 ,MACE AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,3822105.0,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
269105,12/31/2017,23:33,BRONX,10472.0,40.82918,-73.871544,"(40.82918, -73.871544)",FTELEY AVENUE                   ,GLEASON AVENUE,,1.0,0.0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3818887.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
269155,12/31/2017,5:02,BRONX,10472.0,40.8283,-73.88296,"(40.8283, -73.88296)",BRONX RIVER AVENUE              ,WESTCHESTER AVENUE,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,Unspecified,Unspecified,3818877.0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PICK-UP TRUCK,PASSENGER VEHICLE
270250,12/29/2017,23:15,QUEENS,11413.0,40.661747,-73.75064,"(40.661747, -73.75064)",145 AVENUE                      ,229 STREET,,2.0,0.0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,3820782.0,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
272029,12/26/2017,5:00,QUEENS,11428.0,40.72201,-73.73557,"(40.72201, -73.73557)",220 STREET                      ,93 ROAD,,1.0,0.0,0,0,0,0,1,0,Pavement Slippery,Unspecified,Unspecified,Unspecified,Unspecified,3817920.0,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
